size_bytes,stride_elems,stride_bytes,throughput_MBps,seconds,reps,device
33554432,4,16,70655.8,0.0507248,448,"Apple M4 Pro"
33554432,8,32,37743.3,0.0542613,512,"Apple M4 Pro"
33554432,16,64,26544.6,0.0578648,768,"Apple M4 Pro"
33554432,32,128,30671.1,0.0500797,1536,"Apple M4 Pro"
33554432,64,256,182064,0.0506195,18432,"Apple M4 Pro"
67108864,1,4,237616,0.0517136,192,"Apple M4 Pro"
67108864,2,8,126006,0.056886,224,"Apple M4 Pro"
67108864,4,16,64934.2,0.0551944,224,"Apple M4 Pro"
67108864,8,32,31458.9,0.0488256,192,"Apple M4 Pro"
67108864,16,64,16180.9,0.0553741,224,"Apple M4 Pro"
67108864,32,128,15607.3,0.0574092,448,"Apple M4 Pro"
67108864,64,256,30864.5,0.0497659,1536,"Apple M4 Pro"
134217728,1,4,231343,0.0531158,96,"Apple M4 Pro"
134217728,2,8,108435,0.0566606,96,"Apple M4 Pro"
134217728,4,16,56932.9,0.0539582,96,"Apple M4 Pro"
134217728,8,32,29377.3,0.0522853,96,"Apple M4 Pro"
134217728,16,64,15298.5,0.0585677,112,"Apple M4 Pro"
134217728,32,128,14616.9,0.0525418,192,"Apple M4 Pro"
134217728,64,256,14724,0.0521597,384,"Apple M4 Pro"
